

like_prob:0.2,follow_prob:0,size:50,follower_average_mult_sz:0.2,follower_sd_mult_av:0.5,clickbait_sd:0
post,likes,clustering,favg,fsd
0,0.02,0.0005278975326104473,9.94,4.826634438198111
0,0.06,0.0005278975326104473,9.94,4.826634438198111
0,0.1,0.0005278975326104473,9.94,4.826634438198111
0,0.12,0.0005278975326104473,9.94,4.826634438198111
0,0.2,0.0005278975326104473,9.94,4.826634438198111
0,0.3,0.0005278975326104473,9.94,4.826634438198111
0,0.48,0.0005278975326104473,9.94,4.826634438198111
0,0.66,0.0005278975326104473,9.94,4.826634438198111
0,0.78,0.0005278975326104473,9.94,4.826634438198111
0,0.8,0.0005278975326104473,9.94,4.826634438198111
0,0.82,0.0005278975326104473,9.94,4.826634438198111
1,0.42,0.0005278975326104473,9.94,4.826634438198111
1,0.43,0.0005278975326104473,9.94,4.826634438198111
1,0.45,0.0005278975326104473,9.94,4.826634438198111
1,0.51,0.0005278975326104473,9.94,4.826634438198111
1,0.64,0.0005278975326104473,9.94,4.826634438198111
1,0.74,0.0005278975326104473,9.94,4.826634438198111
1,0.79,0.0005278975326104473,9.94,4.826634438198111
2,0.5333333333333333,0.0005278975326104473,9.94,4.826634438198111
2,0.54,0.0005278975326104473,9.94,4.826634438198111
2,0.5466666666666666,0.0005278975326104473,9.94,4.826634438198111
2,0.56,0.0005278975326104473,9.94,4.826634438198111
3,0.425,0.0005278975326104473,9.94,4.826634438198111
4,0.344,0.0005278975326104473,9.94,4.826634438198111
4,0.352,0.0005278975326104473,9.94,4.826634438198111
4,0.36,0.0005278975326104473,9.94,4.826634438198111
4,0.384,0.0005278975326104473,9.94,4.826634438198111
4,0.404,0.0005278975326104473,9.94,4.826634438198111
4,0.428,0.0005278975326104473,9.94,4.826634438198111
4,0.44,0.0005278975326104473,9.94,4.826634438198111
4,0.452,0.0005278975326104473,9.94,4.826634438198111
5,0.38,0.0005278975326104473,9.94,4.826634438198111
5,0.38333333333333336,0.0005278975326104473,9.94,4.826634438198111
6,0.3314285714285714,0.0005278975326104473,9.94,4.826634438198111
6,0.3342857142857143,0.0005278975326104473,9.94,4.826634438198111
6,0.34,0.0005278975326104473,9.94,4.826634438198111
6,0.35428571428571426,0.0005278975326104473,9.94,4.826634438198111
6,0.38285714285714284,0.0005278975326104473,9.94,4.826634438198111
